"Date","Documentno","Documenttype","Accountno","Grossamount","JournalNo","Dimension_One","Dimension_Two","Currency","Datewhenpaid"
"7/8/2019 12:00:00 AM","Rct702              ","12","Dr533               ","-100000","Jv13010             ","","","KES",""
"7/9/2019 12:00:00 AM","INV867              ","10","Dr510706            ","255000","Jv13176             ","          ","          ","KES","7/9/2019 12:00:00 AM"
"7/9/2019 12:00:00 AM","INV868              ","10","Dr584               ","808500","Jv13179             ","          ","          ","KES","7/15/2019 12:00:00 AM"
"7/3/2019 12:00:00 AM","Rct739              ","12","Dr290678            ","-22500","Jv13982             ","","","KES",""
"4/15/2019 12:00:00 AM","Rct704              ","12","Dr360683            ","-36000","Jv13357             ","","","KES",""
"5/2/2019 12:00:00 AM","Rct705              ","12","Dr360683            ","-36000","Jv13368             ","","","KES",""
"7/12/2019 12:00:00 AM","INV869              ","10","Dr584               ","72000","Jv13425             ","          ","          ","KES","7/15/2019 12:00:00 AM"
"7/5/2019 12:00:00 AM","Rct707              ","12","Dr535               ","-909600","Jv13477             ","","","KES",""
"7/10/2019 12:00:00 AM","Rct708              ","12","Dr510688            ","-700000","Jv13478             ","","","KES",""
"7/10/2019 12:00:00 AM","Rct709              ","12","Dr510688            ","-566896","Jv13479             ","","","KES",""
"7/10/2019 12:00:00 AM","2321                ","0","Dr510688            ","-69104","Jv13480             ","B01       ","          ","KES",""
"7/9/2019 12:00:00 AM","Rct710              ","12","Dr584               ","-808500","Jv13481             ","","","KES",""
"7/13/2019 12:00:00 AM","INV870              ","10","Dr584               ","808500","Jv13486             ","          ","          ","KES","7/31/2019 12:00:00 AM"
"7/12/2019 12:00:00 AM","INV871              ","10","Dr584               ","48000","Jv13489             ","          ","          ","KES","7/15/2019 12:00:00 AM"
"7/15/2019 12:00:00 AM","Rct711              ","12","Dr584               ","-928500","Jv13500             ","","","KES",""
