"entryno","documenttype","docdate","documentno","locationcode","stocktype","code","description","unitofmeasure","Quantity","Quantity_toinvoice","Qunatity_delivered","UnitPrice","vatamount","invoiceamount","completed","printed","containerprice","containersunits","totalchargedcontainers","containercode","vatrate","inclusive","UOM","shipping","PriceInPricelist","Increase","PartPerUnit","modified","Qunatity_replaced","packagescharge"
"1576853","16","3/26/2022 12:00:00 AM","SL621","","","S.143","Fibre Glass Membrane                              ","Units     ","10.00","","","200.00","320.00","2320.00","","","0.00","10","0.00","S.90","16.00","False","","","14655.173","-14455.173","1","","",""
"1576854","19","3/26/2022 12:00:00 AM","PL2371","","","S.103","BITUSHIELD TYPE 5                                 ","bucket    ","1.00","","","4482.76","717.24","5200.00","","","0.00","1","0.00","S.90","16.00","False","","","3707","775.76","20","","",""
"1576855","19","3/26/2022 12:00:00 AM","PL2371","","","S.143","Fibre Glass Membrane                              ","Units     ","10.00","","","200.00","320.00","2320.00","","","0.00","10","0.00","S.90","16.00","False","","","14655.173","-14455.173","1","","",""
"1576856","10","3/26/2022 12:00:00 AM","INV.2354","","","S.103","BITUSHIELD TYPE 5                                 ","bucket    ","1.00","","","4482.76","717.00","5200.00","","","","","0.00","S.90","16.00","False","","0","3707","775.76","20","","",""
"1576857","10","3/26/2022 12:00:00 AM","INV.2354","","","S.143","Fibre Glass Membrane                              ","Units     ","10.00","","","200.00","320.00","2320.00","","","","","0.00","S.90","16.00","False","","0","14655.173","-14455.173","1","","",""
"1576858","11","3/25/2022 12:00:00 AM","CN113","","","S.6","K1-60 Emulsion (60% bidder content)               ","Drums     ","15.00","","","0.00","0.00","0.00","","","","","","","16.00","False","","","","","200","","",""
"1576859","13","3/25/2022 12:00:00 AM","Rvs142","          ","","S.6","K1-60 Emulsion (60% bidder content)               ","Drums     ","15.00","","","15948.28","38275.87","277500.07","","","","","","","16.00","False","","","","","","","",""
"1576860","1","3/24/2022 12:00:00 AM","SO.2878","","","S.6","K1-60 Emulsion (60% bidder content)               ","Drums     ","15.00","","15.00","16810.35","40344.83","292500.02","","","0.00","15","0.00","S.15","16.00","False","","","14000","2810.35","200","15","",""
"1576861","1","3/28/2022 12:00:00 AM","SO.2879","","","S.35","Black Bituminous Paint  PF4                       ","Drums     ","1.00","","1.00","48000.00","7680.00","55680.00","","","0.00","1","0.00","S.15","16.00","False","","","63158","-15158","200","1","",""
"1576862","1","3/28/2022 12:00:00 AM","SO.2879","","","S.35","Black Bituminous Paint  PF4                       ","bucket    ","10.00","","10.00","4800.00","7680.00","55680.00","","","0.00","10","0.00","S.90","16.00","False","","","5172.4136","-372.4136","20","10","",""
"1576863","16","3/28/2022 12:00:00 AM","SL622","","","S.35","Black Bituminous Paint  PF4                       ","Drums     ","1.00","","","48000.00","7680.00","55680.00","","","0.00","1","0.00","S.15","16.00","False","","","63158","-15158","200","","",""
"1576864","16","3/28/2022 12:00:00 AM","SL622","","","S.35","Black Bituminous Paint  PF4                       ","bucket    ","10.00","","","4800.00","7680.00","55680.00","","","0.00","10","0.00","S.90","16.00","False","","","5172.4136","-372.4136","20","","",""
"1576865","19","3/28/2022 12:00:00 AM","PL2372","","","S.35","Black Bituminous Paint  PF4                       ","Drums     ","1.00","","","48000.00","7680.00","55680.00","","","0.00","1","0.00","S.15","16.00","False","","","63158","-15158","200","","",""
"1576866","19","3/28/2022 12:00:00 AM","PL2372","","","S.35","Black Bituminous Paint  PF4                       ","bucket    ","10.00","","","4800.00","7680.00","55680.00","","","0.00","10","0.00","S.90","16.00","False","","","5172.4136","-372.4136","20","","",""
"1576867","10","3/28/2022 12:00:00 AM","INV.2355","","","S.35","Black Bituminous Paint  PF4                       ","Drums     ","1.00","","","48000.00","7680.00","55680.00","","","","","0.00","S.15","16.00","False","","0","63158","-15158","200","","",""
"1576868","10","3/28/2022 12:00:00 AM","INV.2355","","","S.35","Black Bituminous Paint  PF4                       ","bucket    ","10.00","","","4800.00","7680.00","55680.00","","","","","0.00","S.90","16.00","False","","0","5172.4136","-372.4136","20","","",""
"1576869","16","3/28/2022 12:00:00 AM","SL623","","","S.6","K1-60 Emulsion (60% bidder content)               ","Drums     ","15.00","","","16810.35","40344.83","292500.02","","","0.00","15","0.00","S.15","16.00","False","","","14000","2810.35","200","","",""
"1576870","19","3/28/2022 12:00:00 AM","PL2373","","","S.6","K1-60 Emulsion (60% bidder content)               ","Drums     ","15.00","","","16810.35","40344.83","292500.02","","","0.00","15","0.00","S.15","16.00","False","","","14000","2810.35","200","","",""
"1576871","10","3/24/2022 12:00:00 AM","INV.2356","","","S.6","K1-60 Emulsion (60% bidder content)               ","Drums     ","15.00","","","16810.35","40345.00","292500.00","","","","","0.00","S.15","16.00","False","","0","14000","2810.35","200","","",""
"1576895","1","3/29/2022 12:00:00 AM","SO.2886","","","S.6","K1-60 Emulsion (60% bidder content)               ","Drums     ","10.00","","10.00","15400.00","24640.00","178640.00","","","0.00","10","0.00","S.15","16.00","False","","","14000","1400","200","10","",""
