"date","details","cleared","flag","invref","acctfolio","allocat","amount","pamount","module","type","cash","del","curr_cod","curr_rat","id","i_n_t","period","journal","typ","sns","vatamt","vatc","pkey","systypes_1","ledger"
"1/18/2018 12:00:00 AM","Receipt  inv429                                                                                     ","","DR    ","Rct351              ","Dr457               ","","-584138","0","","","","","KES       ","","","R","17","Jv7086              ","_W","","0","","647855","12","02Ac00126           "
"1/18/2018 12:00:00 AM","Tai VAT withheld inv429                                                                             ","","DR    ","1393                ","Dr471               ","","-31862","","","J","","","KES       ","1","","J","17","Jv7087              ","J ","","","","647856","0","03Va00121           "
"1/16/2018 12:00:00 AM","Receipt  inv446                                                                                     ","","DR    ","Rct352              ","Dr190671            ","","-925000","0","","","","","KES       ","","","R","17","Jv7088              ","_W","","0","","647857","12","02Ac00126           "
"1/22/2018 12:00:00 AM","Receipt  inv423                                                                                     ","","DR    ","Rct353              ","Dr471               ","","-330000","0","","","","","KES       ","","","R","17","Jv7089              ","_W","","0","","647858","12","02Ac00126           "
"1/22/2018 12:00:00 AM","James Finalys VAT withheld transfer inv423                                                          ","","DR    ","1396                ","Dr471               ","","-18000","","","J","","","KES       ","1","","J","17","Jv7090              ","J ","","","","647859","0","03Va00121           "
"2/26/2018 12:00:00 AM","Receipt  Transfer                                                                                   ","","DR    ","Rct354              ","Dr471               ","","-566500","0","","","","","KES       ","","","R","18","Jv7091              ","_W","","0","","647860","12","02Ac00126           "
"2/26/2018 12:00:00 AM","VAT withheld(James Finlays)                                                                         ","","DR    ","1399                ","Dr471               ","","-30900","","","J","","","KES       ","1","","J","18","Jv7092              ","J ","","","","647861","0","Jo0010398           "
"1/18/2018 12:00:00 AM","Tai VAT withheld inv429 correction                                                                  ","","DR    ","1401                ","Dr457               ","","-31862","","","J","","","KES       ","1","","J","17","Jv7093              ","J ","","","","647862","0","Jo0010398           "
"1/18/2018 12:00:00 AM","Tai VAT withheld inv429 correction                                                                  ","","DR    ","1401                ","Dr471               ","","31862","","","J","","","KES       ","1","","J","17","Jv7093              ","J ","","","","647863","0","Jo0010398           "
"1/26/2018 12:00:00 AM","Receipt  trf                                                                                        ","","DR    ","Rct355              ","Dr533               ","","-157276.6","0","","","","","KES       ","","","R","17","Jv7143              ","_W","","0","","648855","12","02Ac00126           "
"1/26/2018 12:00:00 AM","Njuca VAT Withheld                                                                                  ","","DR    ","1406                ","Dr533               ","","-8578.72","","","J","","","KES       ","1","","J","17","Jv7144              ","J ","","","","648856","0","03Va00121           "
"2/16/2018 12:00:00 AM","Receipt  Inv472                                                                                     ","","DR    ","Rct356              ","Dr190678            ","","-775000","0","","","","","KES       ","","","R","18","Jv7145              ","_W","","0","","648857","12","02Ac00126           "
