"itemcode","StockIn","cost","StockOut","StockBalance","rowid","journal","GRN","PartPerUnit"
"S.120               ","9150","55","0","9150","720654","Jv18803             ","LPO816              ",""
"S.8                 ","48","50","0","48","720655","Jv18805             ","WRK305              ",""
"S.8                 ","48","50","0","48","720656","Jv18806             ","WRK305              ",""
"S.6                 ","11000","31.99","11000","0","720657","Jv18807             ","B/No423             ",""
"S.9                 ","10250","76","10250","0","720658","Jv18813             ","LPO818              ",""
"S.7                 ","13500","31.54","13500","0","720659","Jv18821             ","B/No424             ",""
"S.120               ","1830","55","0","1830","720660","Jv18833             ","LPO819              ",""
"S.8                 ","16290","54","0","16290","720661","Jv18848             ","LPO817              ",""
"S.15                ","150","1000","150","0","720662","Jv18852             ","LPO822              ",""
"S.150               ","13200","42.93","13200","0","720663","Jv18865             ","B/No426             ",""
"S.99                ","10000","34.85","10000","0","720664","Jv18870             ","B/No427             ",""
"S.15                ","3","850","3","0","720665","Jv18898             ","LPO826              ",""
"S.8                 ","4960","54","0","4960","720666","Jv18901             ","LPO823              ",""
"S.7                 ","8000","35.76","8000","0","720667","Jv18915             ","B/No428             ",""
"S.7                 ","11000","31.64","11000","0","720668","Jv18916             ","B/No429             ",""
"S.8                 ","16540","54","0","16540","720669","Jv18921             ","LPO831              ",""
"S.15                ","300","1000","300","0","720670","Jv18945             ","LPO832              ",""
"S.15                ","100","1000","100","0","720671","Jv18953             ","LPO833              ",""
"S.30164             ","25","114","0","25","720672","Jv18960             ","LPO834              ",""
"S.7                 ","6500","36.85","6500","0","720673","Jv18995             ","B/No430             ",""
"S.8                 ","7306","51.72","0","7306","720674","Jv19040             ","WRK307              ",""
"S.150               ","12000","45.8","12000","0","720675","Jv19041             ","B/No431             ",""
"S.99                ","10500","34.42","10500","0","720676","Jv19044             ","B/No432             ",""
"S.7                 ","6500","36.85","6500","0","720677","Jv19045             ","B/No433             ",""
"S.6                 ","3500","3.48","3500","0","720678","Jv19050             ","B/No434             ",""
"S.6                 ","11600","29.11","11600","0","720679","Jv19051             ","B/No435             ",""
"S.6                 ","10000","31.18","10000","0","720680","Jv19052             ","B/No436             ",""
"S.120               ","26535","56.5","0","26535","720681","Jv19054             ","LPO835              ",""
"S.8                 ","13330","54","0","13330","720682","Jv19066             ","LPO836              ",""
"S.8                 ","14770","54","0","14770","720683","Jv19072             ","LPO838              ",""
"S.15                ","100","1000","100","0","720684","Jv19116             ","LPO840              ",""
"S.15                ","124","1100","124","0","720685","Jv19118             ","LPO841              ",""
"S.30164             ","50","108.3","0","50","720686","Jv19120             ","LPO842              ",""
"S.8                 ","19580","54","0","19580","720687","Jv19122             ","LPO843              ",""
"S.15                ","100","1000","100","0","720688","Jv19123             ","LPO844              ",""
"S.8                 ","8180","54","0","8180","720689","Jv19125             ","LPO839              ",""
"S.7                 ","12000","34.61","12000","0","720690","Jv19127             ","B/No437             ",""
"S.7                 ","10000","31.2","10000","0","720691","Jv19128             ","B/No438             ",""
"S.7                 ","13500","33.07","13500","0","720692","Jv19129             ","B/No439             ",""
"S.150               ","13600","44.72","13600","0","720693","Jv19130             ","B/No440             ",""
"S.99                ","11000","40.21","11000","0","720694","Jv19131             ","B/No441             ",""
"S.161               ","420","826.5","0","420","720695","Jv19159             ","LPO845              ",""
"S.8                 ","97280","51.72","0","97280","720696","Jv19166             ","WRK308              ",""
"S.150               ","10000","45.5","10000","0","720697","Jv19167             ","B/No442             ",""
"S.150               ","13600","44.22","13600","0","720698","Jv19168             ","B/No443             ",""
"S.99                ","11000","32.27","11000","0","720699","Jv19173             ","B/No444             ",""
