"docno","date","itemcode","externalref","narrative","amount","printed","journal","currency"
"Rct96               ","12/19/2016 12:00:00 AM","Dr619               ","chq no. 3155","Paid in KES","500000.00","True","Jv1632","KES       "
"Rct97               ","1/17/2017 12:00:00 AM","Dr655               ","Inv no.147","Paid in KES","47975.00","True","Jv1636","KES       "
"Rct98               ","1/18/2017 12:00:00 AM","Dr533               ","chq no. 010038","Paid in KES","100000.00","True","Jv1647","KES       "
"Rct25               ","10/8/2016 12:00:00 AM","Dr641               ","","Paid in KES","180960.00","True","Jv483","KES       "
"Rct27               ","10/15/2016 12:00:00 AM","Dr641               ","RTGS ","Pain in :KES","422240.00","True","Jv484","KES       "
"Rct99               ","1/20/2017 12:00:00 AM","Dr369               ","Inv no.152","Paid in KES","32000.00","True","Jv1665","KES       "
"Rct100              ","1/20/2017 12:00:00 AM","Dr649               ","CHQ NO.186","Paid in KES","600000.00","True","Jv1666","KES       "
"Rct101              ","1/20/2017 12:00:00 AM","Dr649               ","CHQ no.188","Paid in KES","616719.89","True","Jv1667","KES       "
"Rct102              ","1/23/2017 12:00:00 AM","Dr467               ","Inv no.155","Paid in KES","18999.99","True","Jv1677","KES       "
"Rct103              ","1/23/2017 12:00:00 AM","Dr20653             ","Inv no.154","Paid in KES","13999.99","True","Jv1678","KES       "
"Rct104              ","1/17/2017 12:00:00 AM","Dr373               ","cash","Paid in KES","500000.00","True","Jv1697","KES       "
"Rct105              ","1/25/2017 12:00:00 AM","Dr369               ","inv158","Paid in KES","68000.00","True","Jv1707","KES       "
"Rct106              ","1/25/2017 12:00:00 AM","Dr476               ","chq no. 001313","Paid in KES","500000.00","True","Jv1708","KES       "
"Rct107              ","1/25/2017 12:00:00 AM","Dr30654             ","INV162","Paid in KES","45000.00","True","Jv1737","KES       "
"Rct108              ","1/26/2017 12:00:00 AM","Dr471               ","INV143","Paid in KES","652650.65","True","Jv1786","KES       "
"Rct109              ","12/16/2016 12:00:00 AM","Dr643               ","","Paid in KES","49184.00","","Jv1831","KES       "
"Rct110              ","11/12/2016 12:00:00 AM","Dr486               ","inv83","Paid in KES","2436.00","","Jv1833","KES       "
"Rct111              ","1/24/2017 12:00:00 AM","Dr469               ","inv149","Paid in KES","112752.00","True","Jv1976","KES       "
"Rct112              ","1/24/2017 12:00:00 AM","Dr469               ","inv137","Paid in KES","719999.90","True","Jv1977","KES       "
"Rct113              ","1/31/2017 12:00:00 AM","Dr628               ","inv157 163 164","Paid in KES","2040000.00","True","Jv1979","KES       "
"Rct114              ","1/6/2017 12:00:00 AM","Dr469               ","inv136","Paid in KES","331919.99","True","Jv1980","KES       "
"Rct115              ","2/7/2017 12:00:00 AM","Dr50654             ","Inv no.176","Paid in KES","36000.00","True","Jv2037","KES       "
"Rct116              ","2/7/2017 12:00:00 AM","Dr50654             ","Inv no.175","Paid in KES","36000.00","True","Jv2038","KES       "
"Rct117              ","2/8/2017 12:00:00 AM","Dr533               ","CHQ NO. 010292","Paid in KES","50000.00","True","Jv2077","KES       "
"Rct118              ","2/9/2017 12:00:00 AM","Dr442               ","000290","Paid in KES","611999.00","True","Jv2083","KES       "
"Rct119              ","2/9/2017 12:00:00 AM","Dr644               ","chq no. 00012","Paid in KES","230580.00","True","Jv2084","KES       "
"Rct120              ","2/8/2017 12:00:00 AM","Dr474               ","chq no. 447591","Paid in KES","195000.00","True","Jv2085","KES       "
"Rct121              ","2/15/2017 12:00:00 AM","Dr50655             ","inv185","Paid in KES","28000.00","","Jv2148","KES       "
"Rct122              ","2/16/2017 12:00:00 AM","Dr591               ","Inv no.186","Paid in KES","15080.00","True","Jv2152","KES       "
"Rct123              ","2/20/2017 12:00:00 AM","Dr435               ","chq no. 000798","Paid in KES","356000.00","True","Jv2235","KES       "
"Rct124              ","2/21/2017 12:00:00 AM","Dr50658             ","INV no.191","Paid in KES","5000.00","True","Jv2273","KES       "
"Rct126              ","2/9/2017 12:00:00 AM","Dr370               ","","Paid in KES","478236.00","","Jv2309","KES       "
"Rct127              ","2/24/2017 12:00:00 AM","Dr471               ","","Paid in KES","635202.35","True","Jv2357","KES       "
"Rct128              ","2/27/2017 12:00:00 AM","Dr469               ","rtgs","Paid in KES","1477584.00","True","Jv2450","KES       "
"Rct129              ","3/7/2017 12:00:00 AM","Dr474               ","inv121","Paid in KES","46116.00","True","Jv2576","KES       "
