"customerCode","stockcode","approved","approvedby","DateTime","units_code","quantity","price","id","container"
"Dr510804","S.7","True","Lucybriate","2/17/2023 6:17:00 AM","u 10","200","18965.52","911",""
"Dr510976","S.95","True","Lucybriate","4/22/2022 9:38:00 AM","u20","4","1293.103","750",""
"Dr510810","S.6","True","Sarah","2/22/2023 7:58:00 AM","u 10","200","19000","955",""
"","S.20","True","","","u 7","1","86.289","754",""
"Dr510892","S.7","True","Lucybriate","9/23/2021 8:30:00 AM","u 10","200","14000","290",""
"Dr510803","S.35","True","Sarah","2/23/2023 8:04:00 AM","u 9","20","6465.517","1008",""
"Dr392","S.103","True","Lucybriate","9/24/2021 1:53:00 PM","u 9","20","4051.724","292",""
"Dr584","S.6","True","Lucybriate","3/28/2022 6:08:00 AM","u 10","200","16810.35","679",""
"Dr584","S.9","True","Mugure","9/25/2021 8:31:00 AM","u 10","200","21551.72","296",""
"Dr510894","S.103","True","Rose","2/15/2022 7:43:00 AM","u20","4","862.069","588",""
"Dr510893","S.60166","True","Lucybriate","9/27/2021 8:58:00 AM","u20","4","939.6552","299",""
"Dr510894","S.60166","True","Lucybriate","9/27/2021 9:08:00 AM","u20","4","939.6552","302",""
"Dr510893","S.103","True","Lucybriate","9/27/2021 9:18:00 AM","u20","4","991.3793","305",""
"Dr510823","S.60166","True","Mary","2/24/2023 9:22:00 AM","u20","4","991.3793","1076",""
"Dr510823","S.103","True","Mary","2/24/2023 9:19:00 AM","u20","4","991.3793","1074",""
"Dr510896","S.60166","True","Lucybriate","9/29/2021 8:39:00 AM","u20","4","939.6552","313",""
"Dr510896","S.103","True","Lucybriate","9/29/2021 8:39:00 AM","u20","4","991.3793","314",""
"Dr510897","S.60166","True","Sarah","3/3/2023 6:24:00 AM","u20","4","1034.483","1100",""
"Dr482","S.60166","True","Lucybriate","9/29/2021 8:58:00 AM","u20","4","939.6552","316",""
"Dr482","S.103","True","Lucybriate","9/29/2021 8:58:00 AM","u20","4","939.6552","317",""
"Dr482","S.60185","True","Lucybriate","9/29/2021 8:59:00 AM","u20","4","991.3793","318",""
"Dr510898","S.60166","True","Lucybriate","9/29/2021 9:03:00 AM","u20","4","939.6552","319",""
"Dr510898","S.103","True","Lucybriate","9/29/2021 9:03:00 AM","u20","4","991.3793","320",""
"Dr510898","S.60185","True","Lucybriate","9/29/2021 9:03:00 AM","u20","4","1034.483","321",""
"Dr510794","S.35","True","Lucybriate","2/21/2023 11:26:00 AM","u 9","20","6034.483","939",""
"Dr510899","S.6","True","Lucybriate","9/30/2021 10:44:00 AM","u 10","200","14224.14","323",""
"Dr510976","S.60185","True","Lucybriate","4/22/2022 9:28:00 AM","u20","4","905.1724","748",""
"Dr510901","S.60166","True","Lucybriate","10/5/2021 1:23:00 PM","u20","4","939.6552","327",""
"Dr510901","S.103","True","Lucybriate","10/5/2021 1:23:00 PM","u20","4","991.3793","328",""
"Dr510901","S.60185","True","Lucybriate","10/5/2021 1:24:00 PM","u20","4","1034.483","329",""
"Dr510903","S.103","True","Lucybriate","10/5/2021 1:28:00 PM","u20","4","991.3793","330",""
"Dr510892","S.6","True","Lucybriate","2/17/2023 10:52:00 AM","u 10","200","17000","916",""
"Dr392","S.60166","True","Sarah","2/22/2023 8:32:00 AM","u 9","20","4137.931","956",""
"Dr510865","S.103","True","Lucybriate","1/27/2022 1:12:00 PM","u 9","20","1800","333",""
"Dr471","S.143","True","Sarah","2/22/2023 9:04:00 AM","u14","1","13500","964",""
"","S.60185","True","","","u 10","200","20000","966",""
"Dr510780","S.35","True","Lucybriate","10/6/2021 1:49:00 PM","u20","4","1000","338",""
"Dr510904","S.35","True","Lucybriate","3/21/2022 7:16:00 AM","u 9","20","5603.448","670",""
"Dr510905","S.103","True","Mugure","10/8/2021 7:36:00 AM","u20","4","991.3793","343",""
"Dr510906","S.103","True","Mugure","10/8/2021 7:35:00 AM","u20","4","991.3793","344",""
"Dr510906","S.60166","True","Mugure","10/8/2021 7:35:00 AM","u20","4","939.6552","345",""
"Dr510906","S.103","True","Mugure","10/8/2021 7:35:00 AM","u 9","20","4094.828","346",""
